pID,condition,block_no,trial_no,stimulus,response,correct,rt,age,gender
70,ac,1,1,hh,hl,FALSE,9495.28,19,male
70,ac,1,2,hl,ll,FALSE,5860.7,19,male
70,ac,1,3,lh,hh,FALSE,9378.42,19,male
70,ac,1,4,hl,hl,TRUE,7017.6,19,male
70,ac,1,5,hh,hl,FALSE,8336.86,19,male
70,ac,1,6,hl,hh,FALSE,7139.9,19,male
70,ac,1,7,hh,hh,TRUE,14024.24,19,male
70,ac,1,8,ll,ll,TRUE,6401.3,19,male
70,ac,1,9,hl,hh,FALSE,4095.26,19,male
70,ac,1,10,hl,lh,FALSE,10884.08,19,male
70,ac,1,11,ll,ll,TRUE,5647.04,19,male
70,ac,1,12,ll,hh,FALSE,8240.6,19,male
70,ac,1,13,ll,lh,FALSE,8039.040000000001,19,male
70,ac,1,14,ll,hh,FALSE,6262.34,19,male
70,ac,1,15,lh,ll,FALSE,7514.719999999999,19,male
70,ac,1,16,hh,lh,FALSE,5567.1,19,male
70,ac,1,17,hl,hh,FALSE,5509.06,19,male
70,ac,1,18,ll,lh,FALSE,6267.08,19,male
70,ac,1,19,hl,hh,FALSE,11171.46,19,male
70,ac,1,20,lh,hl,FALSE,10625.86,19,male
70,ac,1,21,hl,hh,FALSE,11452.02,19,male
70,ac,1,22,ll,ll,TRUE,9017.22,19,male
70,ac,1,23,hh,ll,FALSE,7615.52,19,male
70,ac,1,24,ll,ll,TRUE,10257.82,19,male
70,ac,1,25,ll,hh,FALSE,8261.62,19,male
70,ac,1,26,hh,hh,TRUE,6956.38,19,male
70,ac,1,27,ll,ll,TRUE,7280.200000000001,19,male
70,ac,1,28,hh,ll,FALSE,9588.1,19,male
70,ac,1,29,ll,hh,FALSE,7889.120000000001,19,male
70,ac,1,30,ll,ll,TRUE,6331.52,19,male
70,ac,1,31,hh,hh,TRUE,8510.2,19,male
70,ac,1,32,lh,hl,FALSE,8344.74,19,male
70,ac,1,33,hh,hh,TRUE,9710.1,19,male
70,ac,1,34,hl,hl,TRUE,10134.68,19,male
70,ac,1,35,lh,hh,FALSE,6721.24,19,male
70,ac,1,36,ll,ll,TRUE,6724.28,19,male
70,ac,1,37,hl,lh,FALSE,8586.62,19,male
70,ac,1,38,hh,hl,FALSE,9954.46,19,male
70,ac,1,39,hh,hl,FALSE,11556.5,19,male
70,ac,1,40,ll,lh,FALSE,14704.56,19,male
70,ac,1,41,hl,hh,FALSE,9071.8,19,male
70,ac,1,42,hh,hl,FALSE,6566.92,19,male
70,ac,1,43,lh,ll,FALSE,11776.06,19,male
70,ac,1,44,lh,hl,FALSE,7079.96,19,male
70,ac,1,45,hl,hh,FALSE,10662.02,19,male
70,ac,1,46,ll,hl,FALSE,6416.82,19,male
70,ac,1,47,hh,hh,TRUE,4397.08,19,male
70,ac,1,48,ll,hl,FALSE,11814.68,19,male
70,ac,1,49,hl,hl,TRUE,6234.54,19,male
70,ac,1,50,lh,ll,FALSE,6914.28,19,male
70,ac,1,51,hh,hl,FALSE,11839.16,19,male
70,ac,1,52,lh,lh,TRUE,12641.34,19,male
70,ac,1,53,hh,hl,FALSE,7350.860000000001,19,male
70,ac,1,54,lh,hl,FALSE,9170.04,19,male
70,ac,1,55,lh,ll,FALSE,9538.06,19,male
70,ac,1,56,lh,hl,FALSE,11046.12,19,male
70,ac,1,57,,,FALSE,15014.68,19,male
70,ac,1,58,lh,hl,FALSE,5494.58,19,male
70,ac,1,59,hl,hh,FALSE,7378.280000000001,19,male
70,ac,1,60,hh,hh,TRUE,2267.08,19,male
70,ac,1,61,hh,hl,FALSE,7111.76,19,male
70,ac,1,62,hh,hh,TRUE,6122.46,19,male
70,ac,1,63,ll,ll,TRUE,7464.280000000001,19,male
70,ac,1,64,ll,ll,TRUE,10461.7,19,male
70,ac,1,65,lh,ll,FALSE,9243.66,19,male
70,ac,1,66,lh,hl,FALSE,10428.28,19,male
70,ac,1,67,lh,lh,TRUE,6373.6,19,male
70,ac,1,68,ll,ll,TRUE,7847.24,19,male
70,ac,1,69,ll,lh,FALSE,7803,19,male
70,ac,1,70,hh,hl,FALSE,13416.82,19,male
70,ac,1,71,hh,lh,FALSE,11677.36,19,male
70,ac,1,72,hh,hl,FALSE,9795.34,19,male
70,ac,1,73,lh,ll,FALSE,7325.52,19,male
70,ac,1,74,lh,hh,FALSE,5225.38,19,male
70,ac,1,75,ll,lh,FALSE,10715.52,19,male
70,ac,1,76,hh,hh,TRUE,2993.28,19,male
70,ac,1,77,ll,lh,FALSE,13289,19,male
70,ac,1,78,hh,hh,TRUE,2050,19,male
70,ac,1,79,hl,hl,TRUE,7598.5,19,male
70,ac,1,80,hh,hl,FALSE,8690.48,19,male
70,ac,1,81,ll,ll,TRUE,9082.54,19,male
70,ac,1,82,hh,hh,TRUE,2461.98,19,male
70,ac,1,83,ll,hl,FALSE,12167.48,19,male
70,ac,1,84,ll,lh,FALSE,6030.04,19,male
70,ac,1,85,lh,hh,FALSE,3365.96,19,male
70,ac,1,86,hl,hh,FALSE,4806.72,19,male
70,ac,1,87,hh,hh,TRUE,9560.3,19,male
70,ac,1,88,hh,hl,FALSE,3529,19,male
70,ac,1,89,ll,hh,FALSE,5892.96,19,male
70,ac,1,90,ll,hl,FALSE,12567.32,19,male
70,ac,1,91,hh,hl,FALSE,13617.58,19,male
70,ac,1,92,lh,hh,FALSE,3719.96,19,male
70,ac,1,93,hh,hh,TRUE,6373.44,19,male
70,ac,1,94,hh,hl,FALSE,6202.08,19,male
70,ac,1,95,lh,hl,FALSE,9062.18,19,male
70,ac,1,96,ll,hl,FALSE,12440.72,19,male
70,ac,1,97,hl,hl,TRUE,6641.4,19,male
70,ac,1,98,lh,hl,FALSE,4491.14,19,male
70,ac,1,99,lh,ll,FALSE,8988.66,19,male
70,ac,1,100,hl,hl,TRUE,5617.48,19,male
70,ac,1,101,hh,hh,TRUE,8069.4,19,male
70,ac,1,102,hh,hl,FALSE,8643.32,19,male
70,ac,1,103,hl,hl,TRUE,9274.44,19,male
70,ac,1,104,hh,hl,FALSE,5111.38,19,male
70,ac,1,105,,,FALSE,15013.08,19,male
70,ac,1,106,hh,hh,TRUE,7422.639999999999,19,male
70,ac,1,107,ll,ll,TRUE,7495.1,19,male
70,ac,1,108,hl,hh,FALSE,12484.14,19,male
70,ac,1,109,ll,hh,FALSE,5423.8,19,male
70,ac,1,110,hl,ll,FALSE,8413.2,19,male
70,ac,1,111,lh,hl,FALSE,3456.84,19,male
70,ac,1,112,hl,hh,FALSE,6728.52,19,male
70,ac,1,113,lh,hl,FALSE,7645.860000000001,19,male
70,ac,1,114,lh,hh,FALSE,11093.32,19,male
