pID,condition,block_no,trial_no,stimulus,response,correct,rt,age,gender
61,bc,1,1,ll,hh,FALSE,11427.07,19,female
61,bc,1,2,lh,ll,FALSE,6925.696,19,female
61,bc,1,3,hl,hh,FALSE,10008.1,19,female
61,bc,1,4,lh,hh,FALSE,9979.8,19,female
61,bc,1,5,hl,ll,FALSE,6208,19,female
61,bc,1,6,ll,hl,FALSE,12351.1,19,female
61,bc,1,7,lh,ll,FALSE,7858.700000000001,19,female
61,bc,1,8,hh,ll,FALSE,3556.41,19,female
61,bc,1,9,lh,lh,TRUE,13321,19,female
61,bc,1,10,ll,ll,TRUE,15060.6,19,female
61,bc,1,11,lh,ll,FALSE,12266.1,19,female
61,bc,1,12,,,FALSE,15013.2,19,female
61,bc,1,13,ll,ll,TRUE,2387.5,19,female
61,bc,1,14,hl,ll,FALSE,7776.436,19,female
61,bc,1,15,hh,hh,TRUE,3514.8999999999996,19,female
61,bc,1,16,,,FALSE,15013.3,19,female
61,bc,1,17,lh,lh,TRUE,11243.6,19,female
61,bc,1,18,hl,hh,FALSE,5436.7,19,female
61,bc,1,19,ll,hh,FALSE,5979.1,19,female
61,bc,1,20,lh,hh,FALSE,11794.7,19,female
61,bc,1,21,lh,ll,FALSE,8285.4,19,female
61,bc,1,22,ll,ll,TRUE,6886.6,19,female
61,bc,1,23,hl,hh,FALSE,3976.8,19,female
61,bc,1,24,ll,lh,FALSE,7843.1,19,female
61,bc,1,25,lh,hh,FALSE,14350.1,19,female
61,bc,1,26,ll,ll,TRUE,8096.6,19,female
61,bc,1,27,ll,ll,TRUE,2450.9,19,female
61,bc,1,28,,,FALSE,15015.094,19,female
61,bc,1,29,ll,ll,TRUE,4284,19,female
61,bc,1,30,lh,hh,FALSE,10521.7,19,female
61,bc,1,31,hh,hh,TRUE,1447.9,19,female
61,bc,1,32,,,FALSE,15013.3,19,female
61,bc,1,33,ll,ll,TRUE,4939.9,19,female
61,bc,1,34,hl,ll,FALSE,13341.3,19,female
61,bc,1,35,ll,ll,TRUE,12377.2,19,female
61,bc,1,36,ll,ll,TRUE,12172.4,19,female
61,bc,1,37,lh,hl,FALSE,5191.2,19,female
61,bc,1,38,lh,ll,FALSE,7581.700000000001,19,female
61,bc,1,39,ll,hl,FALSE,7282.5,19,female
61,bc,1,40,hl,hl,TRUE,6184.4,19,female
61,bc,1,41,hl,hl,TRUE,13079.4,19,female
61,bc,1,42,lh,hh,FALSE,8174.299999999999,19,female
61,bc,1,43,ll,ll,TRUE,1755.9,19,female
61,bc,1,44,,,FALSE,15013,19,female
61,bc,1,45,ll,hl,FALSE,5681.6,19,female
61,bc,1,46,ll,hh,FALSE,10981.5,19,female
61,bc,1,47,ll,lh,FALSE,7712.299999999999,19,female
61,bc,1,48,ll,ll,TRUE,7601.9,19,female
61,bc,1,49,ll,lh,FALSE,7767,19,female
61,bc,1,50,hh,lh,FALSE,9702.3,19,female
61,bc,1,51,hh,hh,TRUE,1894.3000000000002,19,female
61,bc,1,52,ll,ll,TRUE,9349,19,female
61,bc,1,53,hh,hh,TRUE,3586.8,19,female
61,bc,1,54,hl,hl,TRUE,5727.206,19,female
61,bc,1,55,lh,hh,FALSE,3581.3999999999996,19,female
61,bc,1,56,ll,hl,FALSE,10567.6,19,female
61,bc,1,57,hl,hh,FALSE,3763.6000000000004,19,female
61,bc,1,58,hl,hh,FALSE,6070.5,19,female
61,bc,1,59,lh,ll,FALSE,6361.7,19,female
61,bc,1,60,ll,ll,TRUE,8369.3,19,female
61,bc,1,61,ll,ll,TRUE,4168.7,19,female
61,bc,1,62,hl,hh,FALSE,13147.2,19,female
61,bc,1,63,lh,hl,FALSE,14737.296,19,female
61,bc,1,64,ll,ll,TRUE,4191.8,19,female
61,bc,1,65,,,FALSE,15013.3,19,female
61,bc,1,66,hh,hh,TRUE,2464.3,19,female
61,bc,1,67,ll,ll,TRUE,8298.4,19,female
61,bc,1,68,ll,ll,TRUE,10164,19,female
61,bc,1,69,ll,ll,TRUE,7920.6,19,female
61,bc,1,70,lh,hh,FALSE,3785.6000000000004,19,female
61,bc,1,71,ll,ll,TRUE,11946.8,19,female
61,bc,1,72,hl,lh,FALSE,14622.3,19,female
61,bc,1,73,,,FALSE,15013.5,19,female
61,bc,1,74,lh,ll,FALSE,3785.1000000000004,19,female
61,bc,1,75,lh,lh,TRUE,10554.9,19,female
61,bc,1,76,hl,ll,FALSE,4999.8,19,female
61,bc,1,77,,,FALSE,15013.2,19,female
61,bc,1,78,lh,lh,TRUE,7191.3,19,female
61,bc,1,79,ll,ll,TRUE,9889.6,19,female
61,bc,1,80,hl,hh,FALSE,4265.3,19,female
61,bc,1,81,hh,hh,TRUE,1366.5,19,female
61,bc,1,82,lh,ll,FALSE,3803.7,19,female
61,bc,1,83,lh,ll,FALSE,7660.852000000001,19,female
61,bc,1,84,ll,ll,TRUE,12142.6,19,female
61,bc,1,85,ll,hl,FALSE,7274.5,19,female
61,bc,1,86,hl,hh,FALSE,2772.92,19,female
61,bc,1,87,lh,ll,FALSE,8504.1,19,female
61,bc,1,88,lh,hh,FALSE,14697.6,19,female
61,bc,1,89,,,FALSE,15013.6,19,female
61,bc,1,90,lh,ll,FALSE,7808.4,19,female
61,bc,1,91,hh,ll,FALSE,7550.1,19,female
61,bc,1,92,hl,ll,FALSE,8051.6,19,female
61,bc,1,93,ll,lh,FALSE,7592.799999999999,19,female
61,bc,1,94,lh,ll,FALSE,9110.2,19,female
61,bc,1,95,lh,ll,FALSE,4806.1,19,female
61,bc,1,96,,,FALSE,15013.1,19,female
61,bc,1,97,lh,ll,FALSE,14785.1,19,female
61,bc,1,98,hh,hh,TRUE,10577.5,19,female
61,bc,1,99,hl,ll,FALSE,11821.7,19,female
61,bc,1,100,ll,ll,TRUE,8519.2,19,female
61,bc,1,101,hl,ll,FALSE,2807.6,19,female
61,bc,1,102,ll,ll,TRUE,3518.3999999999996,19,female
61,bc,1,103,,,FALSE,15013.6,19,female
61,bc,1,104,hl,hh,FALSE,9840,19,female
61,bc,1,105,lh,ll,FALSE,7561.700000000001,19,female
61,bc,1,106,lh,hh,FALSE,8160.700000000001,19,female
61,bc,1,107,ll,ll,TRUE,5019.6,19,female
61,bc,1,108,,,FALSE,15013.3,19,female
61,bc,1,109,hh,hh,TRUE,2030,19,female
61,bc,1,110,hl,hh,FALSE,11082.4,19,female
61,bc,1,111,ll,ll,TRUE,5345.4,19,female
61,bc,1,112,hl,hl,TRUE,12869.4,19,female
61,bc,1,113,ll,ll,TRUE,1567.8000000000002,19,female
61,bc,1,114,hh,hh,TRUE,4986.7,19,female
61,bc,1,115,ll,lh,FALSE,7933.6,19,female
61,bc,1,116,lh,hh,FALSE,4131.8,19,female
61,bc,1,117,,,FALSE,15013.4,19,female
61,bc,1,118,hl,lh,FALSE,10153,19,female
61,bc,1,119,lh,ll,FALSE,2712,19,female
61,bc,1,120,hl,ll,FALSE,14423.2,19,female
61,bc,2,1,hl,ll,FALSE,8984.9,19,female
61,bc,2,2,hl,ll,FALSE,8104.932000000001,19,female
61,bc,2,3,hl,hl,TRUE,6562.5,19,female
